sector,quarter,z_hat,nll,success,n_obs_cells,n_total,z_std
PRIMAIRES & ÉNERGIE,2012-07-01,0.4130187464987123,6.047736613858845,True,7,109,0.2489819200575983
PRIMAIRES & ÉNERGIE,2012-10-01,0.890582818599259,10.941975662718935,True,8,108,0.581978298215908
PRIMAIRES & ÉNERGIE,2013-01-01,-0.7215575845589257,17.0353591740319,True,10,109,-0.5421366566070054
PRIMAIRES & ÉNERGIE,2013-04-01,1.329452779623921,27.957500929028477,True,12,106,0.8879940059321326
PRIMAIRES & ÉNERGIE,2013-07-01,1.19147978104562,13.403075443468358,True,9,109,0.7917880484610633
PRIMAIRES & ÉNERGIE,2013-10-01,-0.8370218786335607,6.667643360028603,True,8,115,-0.6226477209430267
PRIMAIRES & ÉNERGIE,2014-01-01,0.7506801433127694,20.616418216324394,True,9,112,0.4844268137414842
PRIMAIRES & ÉNERGIE,2014-04-01,-0.7727251970418453,5.789613843231517,True,7,115,-0.5778148632209921
PRIMAIRES & ÉNERGIE,2014-07-01,0.74060170618836,20.39507158078505,True,9,112,0.4773993105100057
PRIMAIRES & ÉNERGIE,2014-10-01,1.5191119264049637,21.04950611128108,True,9,129,1.0202397351489352
PRIMAIRES & ÉNERGIE,2015-01-01,2.02368650200774,56.241703695607924,True,11,126,1.3720700255798184
PRIMAIRES & ÉNERGIE,2015-04-01,1.703482430100159,24.079595342755493,True,8,132,1.1487977937559846
PRIMAIRES & ÉNERGIE,2015-07-01,2.9882634697536496,54.20468035930179,True,10,121,2.044651267509355
PRIMAIRES & ÉNERGIE,2015-10-01,2.3750133758914993,49.929348089541534,True,12,125,1.6170435974785473
PRIMAIRES & ÉNERGIE,2016-01-01,2.332491195054588,47.57730086326995,True,12,124,1.5873936865298384
PRIMAIRES & ÉNERGIE,2016-04-01,-1.424174893361338,93.99008947087,True,15,125,-1.0320583922045734
PRIMAIRES & ÉNERGIE,2016-07-01,1.6047423500992881,78.04100524717867,True,16,196,1.0799482069880144
PRIMAIRES & ÉNERGIE,2016-10-01,0.7437681672718958,26.106488661193907,True,10,208,0.47960722382257726
PRIMAIRES & ÉNERGIE,2017-01-01,-0.9200535010492997,15.947235142288992,True,8,207,-0.6805440978949933
PRIMAIRES & ÉNERGIE,2017-04-01,-2.044509984909673,55.42171481965264,True,10,198,-1.4646062968689924
PRIMAIRES & ÉNERGIE,2017-07-01,-1.043793451096638,61.11470354139218,True,12,203,-0.7668256203261415
PRIMAIRES & ÉNERGIE,2017-10-01,-2.728462452442066,62.69703835992303,True,10,192,-1.9415133923273253
PRIMAIRES & ÉNERGIE,2018-01-01,-0.6757862364437474,22.26080059288556,True,8,210,-0.5102211628833306
PRIMAIRES & ÉNERGIE,2018-04-01,-1.3296805375588214,23.021927354012526,True,9,207,-0.9661692684682808
PRIMAIRES & ÉNERGIE,2018-07-01,0.2347128011655975,27.14504759490037,True,11,203,0.12465256307967251
PRIMAIRES & ÉNERGIE,2018-10-01,-0.9771294502930622,15.767775409500356,True,7,205,-0.7203420757757892
PRIMAIRES & ÉNERGIE,2019-01-01,0.6120655983933987,12.927569742091185,True,8,208,0.3877735181633893
PRIMAIRES & ÉNERGIE,2019-04-01,0.4737560264602567,32.97358357972557,True,9,214,0.29133287446968675
PRIMAIRES & ÉNERGIE,2019-07-01,0.7101936066916712,37.82562082186498,True,12,213,0.45619631893122764
PRIMAIRES & ÉNERGIE,2019-10-01,1.1690823973521496,22.535446877691903,True,10,213,0.776170777217557
PRIMAIRES & ÉNERGIE,2020-01-01,2.4431096022152103,73.75672347471458,True,12,194,1.6645258057449812
PRIMAIRES & ÉNERGIE,2020-04-01,3.450237090696941,90.20222319119894,True,12,179,2.366776719497727
PRIMAIRES & ÉNERGIE,2020-07-01,1.6372170580451173,101.46730557581566,True,13,220,1.1025922054784059
PRIMAIRES & ÉNERGIE,2020-10-01,-0.43371898075138005,54.03461809478121,True,12,248,-0.34143225239906666
PRIMAIRES & ÉNERGIE,2021-01-01,-0.18485967047669347,40.23637362557697,True,13,241,-0.16790737095656508
PRIMAIRES & ÉNERGIE,2021-04-01,-1.3067328924791948,38.699036765812565,True,13,232,-0.9501683103870598
PRIMAIRES & ÉNERGIE,2021-07-01,-2.056991685894842,60.22045899181824,True,12,223,-1.4733095504513538
PRIMAIRES & ÉNERGIE,2021-10-01,-2.2166387071225446,55.052774682801314,True,13,228,-1.5846283932168017
PRIMAIRES & ÉNERGIE,2022-01-01,-1.8872344719464278,55.44751851307721,True,12,235,-1.35494106187886
PRIMAIRES & ÉNERGIE,2022-04-01,-1.544295080103571,46.00290276106693,True,13,246,-1.1158159222736315
PRIMAIRES & ÉNERGIE,2022-07-01,-2.064512095418576,61.52383862307059,True,12,232,-1.4785533895087095
PRIMAIRES & ÉNERGIE,2022-10-01,-1.314495452261269,48.33760008844229,True,13,230,-0.9555809962310734
PRIMAIRES & ÉNERGIE,2023-01-01,-0.430154789417453,7.2571997643492905,True,8,233,-0.33894700931945104
PRIMAIRES & ÉNERGIE,2023-04-01,-0.09922891767353369,2.2250867352881594,True,6,230,-0.10819866963613113
PRIMAIRES & ÉNERGIE,2023-07-01,-0.10501721613767806,2.203988045265195,True,6,228,-0.11223474047324715
PRIMAIRES & ÉNERGIE,2023-10-01,0.2215208532096671,7.3205742247442025,True,7,229,0.11545406774300311
PRIMAIRES & ÉNERGIE,2024-01-01,-0.10930619432635802,2.157832279950936,True,6,224,-0.11522536369276296
PUBLIC & SERVICES NON-MARCHANDS,2011-04-01,-0.2882991009689416,0.03779191835864046,True,2,4,-0.6910720121942803
PUBLIC & SERVICES NON-MARCHANDS,2011-07-01,-0.22095688388577034,0.3222216621584264,True,6,36,-0.5753413972784693
PUBLIC & SERVICES NON-MARCHANDS,2011-10-01,-0.1997671681411067,0.38526056989316293,True,6,42,-0.5389259221242665
PUBLIC & SERVICES NON-MARCHANDS,2012-01-01,-0.1561342576728265,0.5474380949598151,True,7,58,-0.4639408120732567
PUBLIC & SERVICES NON-MARCHANDS,2012-04-01,-0.17393367007893767,0.932417890478324,True,7,98,-0.4945298991589288
